Field                                 County                               Depth                                Cumm PROD                            Gravity             
BACKDRAFT (OLMOS)                     04900500 FRIO                        5796                                 450400                               34                  
BAILEYVILLE                           05066001 MILAM                       630                                  405                                  22                  
BAKER (25                             05122750 MCMULLEN                    2474                                 34735                                20                  
BAKER (GOVT. WELLS, LOWER)            05123444 MCMULLEN                    3114                                 17642                                24                  
BANDERA TANK, WEST (24                05440500 ZAVALA                      2451                                 960                                  22                  
BANDERA TANK, WEST (25                05440520 ZAVALA                      2562                                 3771                                 22                  
BARBARAS PATCH (SAN MIGUEL)           05599500 MAVERICK                    1049                                 3642                                 35                  
BARNES (CHALK)                        05743500 BEXAR                       1770                                 687                                  22                  
BARRETT (WILCOX)                      05835700 MILAM                       2898                                 781                                  26                  
BASTROP (AUSTIN CHALK)                06011500 BASTROP                     2496                                 4236                                 28                  
BATEMAN                               06053001 BASTROP                     2200                                 772632                               36                  
BATEMAN (AUSTIN CHALK)                06053500 BASTROP                     2234                                 1053419                              37                  
BATESVILLE (BRACERO)                  06096250 ZAVALA                      3132                                 106524                               23                  
BATESVILLE, SOUTH (ANACACHO)          06101100 ZAVALA                      4997                                 252216                               21                  
BATESVILLE, SOUTH (SAN MIGUEL)        06101500 ZAVALA                      4400                                 322704                               28                  
BATESVILLE,SOUTH(SAN MIGUEL,SEGA      06101520 ZAVALA                      4390                                 216808                               30                  
BATESVILLE, SW. (SAN MIGUEL)          06105700 ZAVALA                      3360                                 162208                               27                  
BATESVILLE, SW. (SAN MIGUEL, LO)      06105750 ZAVALA                      3303                                 24501                                31                  
BEAR CREEK                            06469001 MEDINA                      2209                                 2748786                              39                  
BEAR SALT (OLMOS)                     06483550 ZAVALA                      2684                                 1                                    13                  
BEBE (AUSTIN CHALK)                   06582500 GONZALES                    6244                                 51961                                30                  
BEE CREEK                             06727001 CALDWELL                    2095                                 391565                               39                  
BELMONT (POTH)                        06973500 GONZALES                    1883                                 8477                                 21                  
BENNER (NAVARRO)                      07137500 CALDWELL                    794                                  0                                    24                  
BENTON CITY (ANACACHO)                07210500 ATASCOSA                    1853                                 130                                  23                  
BENTON CITY S, (ANACACHO)             07220500 ATASCOSA                    2049                                 31196                                23                  
BEYERSVILLE, SW.                      07670001 WILLIAMSON                  1115                                 28241                                38                  
BIG FOOT                              07850001 FRIO                        3280                                 35333456                             44                  
BIG FOOT (AUSTIN CHALK)               07850200 ATASCOSA                    5126                                 755                                  34                  
BIG FOOT (OLMOS D-3 SAND)             07850666 FRIO                        3504                                 2207866                              39                  
BIG MULE (OLMOS 885                   08001260 MCMULLEN                    8866                                 11967                                42                  
BIG MULE (WILCOX 51                   08001600 MCMULLEN                    5102                                 104560                               43                  
BIG MULE (WILCOX 56                   08001650 MCMULLEN                    5624                                 4857                                 43                  
BIG MULE (55                          08001700 MCMULLEN                    5556                                 1210500                              45                  
BIG SANDY CREEK (DALE)                08034500 BASTROP                     2716                                 1481                                 28                  
BIG WELLS (AUSTIN CHALK)              08069100 DIMMIT                      6950                                 37881                                33                  
BIG WELLS (OLMOS SAND)                08072250 DIMMIT                      4249                                 29403                                34                  
BIG WELLS (SAN MIGUEL)                08072500 DIMMIT                      5425                                 59623149                             33                  
BIG WELLS(SAN MIGUEL, LO., EAST)      08072750 DIMMIT                      5754                                 6702900                              32                  
BIG WELLS, E. (UPPER SAN MIGUEL)      08073500 DIMMIT                      5610                                 531                                  34                  
BIG WELLS, NE. (OLMOS)                08075333 ZAVALA                      4708                                 824                                  33                  
BIG WELLS, NE. (SAN MIGUEL)           08075666 ZAVALA                      5435                                 1340307                              35                  
BILL RICHARDSON (ESCONDIDO)           08159325 ATASCOSA                    4620                                 4189                                 38                  
BILL RICHARDSON (NAVARRO SD.)         08159500 ATASCOSA                    5424                                 78982                                38                  
BILLY HOLLAND                         08240500 EDWARDS                     540                                  0                                    20                  
BLACK HILLS (ANACACHO)                08527400 ATASCOSA                    6220                                 575                                  26                  
BLACK HILLS (AUSTIN CHALK)            08527500 ATASCOSA                    6384                                 8479                                 26                  
BLACK HILLS (BUDA)                    08527600 ATASCOSA                    7082                                 74252                                32                  
BLACK HILLS, SOUTH (BUDA)             08532400 ATASCOSA                    7228                                 15730                                36                  
BLACK ROCK (SAN MIGUEL)               08539500 MAVERICK                    1720                                 4944                                 34                  
BLACKJACK (WILCOX)                    08575800 ATASCOSA                    5624                                 24517                                41                  
BLAKEWAY (DIXON SAND)                 08713499 DIMMIT                      4546                                 385830                               46                  
BLAKEWAY (OLMOS A)                    08713550 DIMMIT                      4492                                 22395                                43                  
BLAKEWAY (STRICKLAND SAND)            08713600 DIMMIT                      4580                                 5856                                 50                  
BLANCH (OLMOS)                        08749666 DIMMIT                      1951                                 73075                                39                  
BLEDSOE-EROG (BUDA)                   08859100 GONZALES                    7300                                 1394                                 23                  
BLUE TIE AFFAIR (W-15)                09895450 MCMULLEN                    6414                                 6676                                 37                  
BOB HINDES (2                         10003333 ATASCOSA                    2099                                 25234                                19                  
BOB HINDES (2                         10003666 ATASCOSA                    2096                                 126603                               19                  
BOB ROSE                              10035001 CALDWELL                    2095                                 48859                                39                  
BONNERS BIG FOOT                      10452100 FRIO                        3576                                 0                                    41                  
BOULDIN (RECKLAW B)                   10792200 GONZALES                    1821                                 12305                                25                  
BOULDIN (                             10792333 GONZALES                    1736                                 43606                                21                  
BOULDIN (2200)                        10792500 GONZALES                    2208                                 6152                                 23                  
BOWMAN (CARRIZO)                      10937250 WILSON                      1065                                 443441                               28                  
BOWMAN (QUEEN CITY)                   10937500 WILSON                      837                                  513                                  19                  
BOWMAN (REKLAW)                       10937750 WILSON                      1012                                 68968                                19                  
BRACERO (ELAINE)                      11173284 ZAVALA                      3816                                 213521                               30                  
BRACERO (ELAINE, EAST SEG.)           11173426 ZAVALA                      3784                                 80125                                31                  
BRACERO (SEG 3 BRACERO)               11173568 ZAVALA                      3756                                 15618                                30                  
BRACERO (SEG 3 ELAINE UPPER)          11173710 ZAVALA                      3861                                 315040                               34                  
BRACERO (SEG 4 ELAINE UPPER)          11173852 ZAVALA                      3848                                 400663                               30                  
BRACERO, NE. (2ND OLMOS)              11176800 ZAVALA                      2978                                 12838                                25                  
BREWSTER HEIRS (AUSTIN CHALK)         11820100 CALDWELL                    1270                                 1077                                 34                  
BRISCOE RANCH (EAGLEFORD)             12018200 DIMMIT                      9512                                 176680057                            47                  
BRISCOE RANCH (N-8)                   12018333 DIMMIT                      4868                                 33595                                41                  
BRISCOE RANCH (OLMOS)                 12018666 DIMMIT                      4522                                 433714                               48                  
BRUSHY CREEK (SERPENTINE)             12647500 WILLIAMSON                  1104                                 2921                                 38                  
BUCHANAN                              12849001 CALDWELL                    2100                                 5484773                              40                  
BUCHANAN, NORTH (DALE LIME)           12851500 CALDWELL                    2084                                 67615                                37                  
BUCK WHEAT (WALES)                    12903475 MCMULLEN                    5266                                 180525                               39                  
BULLOH (NAVARRO)                      13277500 MILAM                       2012                                 625560                               42                  
BULLOH (POTH)                         13277700 MILAM                       1603                                 22592                                21                  
BULLOH, SW. (NAVARRO)                 13279700 MILAM                       2060                                 429                                  36                  
BURDETTE WELLS                        13446001 CALDWELL                    2252                                 15736                                28                  
BURKINSHAW (BUDA)                     13613500 GONZALES                    6456                                 3732                                 29                  
BURMIL (2400 WILCOX)                  13634682 MILAM                       2430                                 104226                               20                  
BURMIL (2600 WILCOX)                  13634690 MILAM                       2615                                 66020                                23                  
BURR (BUDA LIME)                      13880500 MAVERICK                    2759                                 3513                                 28                  
BURR, N. (AUSTIN)                     13882100 MAVERICK                    1001                                 32397                                32                  
BURR, N. (GEORGETOWN 2300)            13882500 MAVERICK                    2347                                 460649                               40                  
BUSARAGE (BUDA)                       13946500 WILSON                      7110                                 15518                                36                  
C.J.P. (REEF)                         14297600 ATASCOSA                    2371                                 224229                               35                  
CAJUN CAPER (TOP WRIGHT)              14362380 MCMULLEN                    5976                                 15982                                37                  
CACHE (OLMOS SHALLOW)                 14473300 MEDINA                      734                                  1534                                 19                  
CAGE, SE (OLMOS)                      14597700 MAVERICK                    212                                  2078                                 48                  
CAGE, SE. (SAN MIGUEL)                14597900 MAVERICK                    3355                                 891                                  38                  
CAGE RANCH (EAGLEFORD)                14606495 MAVERICK                    4713                                 43230                                46                  
CALLIHAM                              14862001 MCMULLEN                    1050                                 2350097                              21                  
CALLIHAM (CARRIZO)                    14862333 MCMULLEN                    4730                                 452                                  31                  
CALLIHAM (CARRIZO, LO.)               14862666 MCMULLEN                    4785                                 2076                                 42                  
CALVERT (BUDA)                        14919200 FRIO                        6290                                 346                                  33                  
CAMARON RANCH (QUEEN CITY)            14990500 LA SALLE                    2235                                 657629                               19                  
CAMPANA                               15142001 MCMULLEN                    2500                                 1397                                 24                  
CAMPANA (ARGO SAND)                   15142333 MCMULLEN                    2500                                 380                                  25                  
CAMPANA, SOUTH                        15146001 MCMULLEN                    3030                                 9475483                              25                  
CAMPANA, SOUTH (ARGO)                 15146012 MCMULLEN                    2416                                 41998                                26                  
CAMPANA, SOUTH (CHERNOSKY)            15146037 MCMULLEN                    2225                                 1857743                              20                  
CAMPANA, S. (GOVT. WELLS SD.)         15146222 MCMULLEN                    2609                                 550496                               21                  
CAMPANA, SOUTH (YEGUA 4300)           15146740 MCMULLEN                    4330                                 42495                                43                  
CAMPANA, SOUTH (                      15146935 MCMULLEN                    1735                                 650                                  21                  
CAMPANA, SOUTH (                      15146962 MCMULLEN                    1870                                 205499                               20                  
CAMPANA, SOUTH (2400)                 15146973 MCMULLEN                    2386                                 615                                  20                  
CAPT (PALUXY)                         15502500 EDWARDS                     411                                  553                                  21                  
CARLOTA (GEORGETOWN)                  15689500 MAVERICK                    1670                                 33999                                38                  
CARLTON, SOUTH (6640)                 15710500 MCMULLEN                    6658                                 1037                                 39                  
CARRIE ANN (PEARSALL SHALE)           15890500 FRIO                        11250                                0                                    44                  
CARRIZO                               15906001 DIMMIT                      2294                                 44184                                32                  
CARRIZO (SAN MIGUEL 2850)             15906500 DIMMIT                      2883                                 4752                                 37                  
CARRIZO, NORTH (AUSTIN CHALK)         15908500 DIMMIT                      5613                                 12599                                40                  
CARRIZO, S. (AUSTIN CHALK)            15911100 DIMMIT                      5186                                 32237                                37                  
CARRIZO, S. (OLMOS 2350-B)            15911555 DIMMIT                      2352                                 2398                                 32                  
CARRIZO, S. (OLMOS 2370)              15911600 DIMMIT                      2387                                 88901                                26                  
CARRIZO, S. (OLMOS 2400)              15911700 DIMMIT                      2402                                 586                                  28                  
CARRIZO, S. (OLMOS 2500)              15911730 DIMMIT                      2494                                 3843                                 39                  
CARRIZO, S. (OLMOS 25                 15911735 DIMMIT                      2515                                 21105                                32                  
CARRIZO, S. (OLMOS 2535)              15911740 DIMMIT                      2544                                 19129                                36                  
CARRIZO S. (OLMOS 2680)               15911790 DIMMIT                      2698                                 96955                                34                  
CARRIZO, SW. (OLMOS)                  15913500 DIMMIT                      2816                                 970                                  36                  
CARRIZO, W (OLMOS)                    15914500 DIMMIT                      2384                                 45495                                37                  
CARRIZO, W (OLMOS, N.)                15914540 DIMMIT                      2394                                 13542                                40                  
CARRIZO, W. (2700 OLMOS)              15914560 DIMMIT                      2705                                 4541                                 38                  
CARRIZO PARK                          15920001 DIMMIT                      2965                                 727                                  37                  
CARROL                                15934001 BASTROP                     2300                                 138545                               36                  
CARSONS HOLE (5500 SD)                15958750 ATASCOSA                    5528                                 38417                                43                  
CARTWRIGHT RANCH (4770)               16065333 LA SALLE                    4775                                 11322                                41                  
CARTWRIGHT RANCH (5200 SAND)          16065666 LA SALLE                    5219                                 27893                                47                  
CARVER-KALLISON                       16093001 GUADALUPE                   2350                                 66941                                32                  
CATARINA                              16331001 DIMMIT                      4800                                 8140                                 43                  
CATARINA, E. (OLMOS A)                16335500 DIMMIT                      4729                                 110876                               46                  
CATARINA, SW. (OLMOS)                 16340500 DIMMIT                      5034                                 60430                                48                  
CATARINA, SW. (OLMOS-2)               16340600 DIMMIT                      5017                                 73096                                51                  
CATARINA, SW. (SAN MIGUEL)            16340800 WEBB                        5200                                 44974                                41                  
CATARINA, SW (SAN MIGUEL,OIL)         16340801 DIMMIT                      5464                                 379050                               47                  
CATARINA FARMS (OLMOS)                16341500 DIMMIT                      4458                                 137894                               46                  
CATARINA MAG (AUSTIN CHALK)           16342100 DIMMIT                      9447                                 5961                                 42                  
CATCLAW (OLMOS)                       16343500 DIMMIT                      4010                                 35559                                32                  
CEBOLLA (3660)                        16495500 ZAVALA                      3660                                 549864                               20                  
CEDAR CREEK                           16550001 BASTROP                     1650                                 483880                               34                  
CEDAR CREEK, NORTH                    16552001 BASTROP                     1600                                 55292                                36                  
CELESTE-FAY (OLMOS 3-C)               16647426 DIMMIT                      3320                                 1013                                 35                  
CELESTE-FAY (OLMOS 4-B)               16647710 DIMMIT                      2936                                 4855                                 40                  
CELESTE-FAY (OLMOS, 5TH SD.)          16647852 DIMMIT                      2919                                 13034                                36                  
CHAPMAN ABBOTT                        17047001 WILLIAMSON                  1800                                 5724056                              37                  
CHARLOTTE                             17248001 ATASCOSA                    6923                                 22252733                             38                  
CHARLOTTE (AUSTIN CHALK)              17248142 ATASCOSA                    6435                                 250776                               38                  
CHARLOTTE (AUSTIN CHALK SEG A)        17248284 ATASCOSA                    6366                                 1599                                 36                  
CHARLOTTE (BUDA)                      17248426 ATASCOSA                    6638                                 27870                                39                  
CHARLOTTE (EDWARDS LIME)              17248568 ATASCOSA                    6995                                 6005031                              38                  
CHARLOTTE (EDWARDS LIME, SEG. B)      17248570 ATASCOSA                    6947                                 18126                                39                  
CHARLOTTE (EDWARDS LIME, H-05)        17248571 ATASCOSA                    7070                                 3287                                 35                  
CHARLOTTE (ESCONDIDO B)               17248572 ATASCOSA                    4542                                 1434                                 42                  
CHARLOTTE (GEORGETOWN)                17248590 ATASCOSA                    6872                                 3557                                 35                  
CHARLOTTE (NAVARRO)                   17248710 ATASCOSA                    5172                                 22696729                             38                  
CHARLOTTE, E. (OLMOS)                 17249500 ATASCOSA                    5295                                 4060                                 34                  
CHARLOTTE, NORTH                      17250001 ATASCOSA                    4979                                 3922173                              39                  
CHARLOTTE, S. (BUDA)                  17252300 ATASCOSA                    7436                                 2274                                 36                  
CHARLOTTE, S. (EDWARDS)               17252500 ATASCOSA                    7640                                 6142                                 37                  
CHARLOTTE, SW. (OLMOS, UP.)           17255500 FRIO                        5540                                 798392                               32                  
CHARLOTTE, WEST                       17256001 FRIO                        5550                                 716911                               30                  
CHARLOTTE, WEST (MCCALL)              17256100 ATASCOSA                    7048                                 1023                                 31                  
CHAS N. JONES (AUSTIN CHALK)          17270500 GUADALUPE                   2430                                 4045                                 14                  
CHEAPSIDE (EDWARDS UP.)               17354333 GONZALES                    11894                                11299                                41                  
CHEAPSIDE, NW. (AUSTIN CHALK)         17358500 GONZALES                    9822                                 24439                                39                  
CHEROKEE (AUSTIN CHALK, LO.)          17466111 MILAM                       5696                                 1061974                              32                  
CHEROKEE (EAGLE FORD)                 17466200 MILAM                       6120                                 14561                                32                  
CHEROKEE (NACATOCH)                   17466300 MILAM                       3498                                 31291                                35                  
CHEROKEE (NAVARRO)                    17466333 MILAM                       3050                                 1134715                              40                  
CHEROKEE (NAVARRO C)                  17466400 MILAM                       3601                                 9341                                 37                  
CHEROKEE (NAVARRO D)                  17466500 MILAM                       3385                                 23887                                33                  
CHEROKEE (NAVARRO, LO.)               17466666 MILAM                       3182                                 30899                                34                  
CHEROKEE (WOLFE CITY)                 17466700 MILAM                       4618                                 1689                                 39                  
CHICON LAKE                           17668001 MEDINA                      990                                  1508354                              34                  
CHICON LAKE, S. (ANACACHO LIME)       17672666 MEDINA                      1345                                 285                                  24                  
CHITTIM (AUSTIN CHALK)                17876076 MAVERICK                    1440                                 195939                               17                  
CHITTIM (BUDA)                        17876152 MAVERICK                    3203                                 117188                               34                  
CHITTIM (EAGLEFORD)                   17876228 MAVERICK                    2018                                 71398                                19                  
CHITTIM (GEORGETOWN)                  17876249 MAVERICK                    3274                                 138185                               42                  
CHITTIM (GEORGETOWN 3000)             17876250 MAVERICK                    3042                                 1664                                 37                  
CHITTIM (SAN MIGUEL)                  17876532 MAVERICK                    48                                   662                                  12                  
CHITTIM (7                            17876912 MAVERICK                    6697                                 3334                                 50                  
CHITTIM,E. (GEORGETOWN)               17877300 MAVERICK                    3527                                 312                                  34                  
CHRISTIAN (6800)                      18000500 GONZALES                    7295                                 4085488                              31                  
CHRISTINE, SE. (WILCOX)               18055500 ATASCOSA                    5238                                 808919                               48                  
CHUBB (WILCOX)                        18128500 MCMULLEN                    5495                                 599                                  38                  
CHUPICK (OLMOS -A-)                   18156500 ATASCOSA                    5243                                 706625                               39                  
CINDY ANN (AUSTIN CHALK, OIL)         18224510 WILSON                      6049                                 768341                               31                  
CINDY ANN (BUDA)                      18224520 WILSON                      6346                                 13295                                32                  
CLARK                                 18591001 GUADALUPE                   2297                                 424471                               35                  
CLARK-COLLIER                         18596001 BELL                        748                                  207                                  26                  
CLAY (BUDA)                           18702250 GONZALES                    9271                                 44584                                41                  
CLOETER (WILCOX 5800)                 19063500 MCMULLEN                    5848                                 141280                               46                  
COAL MINE (NAVARRO)                   19127500 MEDINA                      464                                  911                                  19                  
COLONY (POTH)                         19794500 GONZALES                    1892                                 25916                                18                  
COMANCHE CREEK (ERSKINE SD.)          19886500 ZAVALA                      2462                                 10585                                29                  
COMANCHE-HALSELL (6500)               19890750 MAVERICK                    6731                                 9193980                              42                  
COOK (BUDA)                           20299500 ATASCOSA                    5772                                 100320                               27                  
COOKE (CARRIZO 4000)                  20336250 LA SALLE                    4000                                 9195                                 37                  
COOKE (WILCOX 4100)                   20336625 LA SALLE                    4096                                 1104                                 48                  
COOKE (WILCOX 4100, WEST)             20336630 LA SALLE                    4136                                 143760                               38                  
COOKE (WILCOX 4100, W. RES.           20336700 LA SALLE                    4126                                 33601                                53                  
COOKE (WILCOX 4300)                   20336790 LA SALLE                    4327                                 1938                                 42                  
COOKE (WILCOX 4600)                   20336875 LA SALLE                    4635                                 50648                                42                  
COOKE (WILCOX 5130, WEST)             20336900 LA SALLE                    5142                                 31545                                41                  
COOKE(WILCOX 5350)                    20336925 LA SALLE                    5344                                 2386                                 48                  
COOKE, WEST (OLMOS)                   20345600 LA SALLE                    7607                                 43126                                45                  
COOKE RANCH (OLMOS)                   20355450 LA SALLE                    7914                                 19316                                60                  
COOKSEY                               20378001 BEXAR                       1558                                 510308                               36                  
CORN (OLMOS D-                        20629500 FRIO                        2568                                 25389                                33                  
COSMOPOLITAN (AUSTIN CHALK)           20896300 GONZALES                    6907                                 205393                               23                  
COST (AUSTIN CHALK)                   20899100 GONZALES                    7296                                 2596091                              19                  
COST (BUDA)                           20899200 GONZALES                    6496                                 217991                               31                  
COST, WEST (AUSTIN CHALK)             20903500 GONZALES                    6819                                 11600                                29                  
COTTONWOOD DRAW (WALES 5500)          21056500 MCMULLEN                    5518                                 3371                                 42                  
COTULLA                               21062001 LA SALLE                    2214                                 2887                                 22                  
